Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA4 (UR), AGE5P - Age in Five Year Groups, SEXP Sex, INGP Indigenous Status, HEAP Level of Highest Educational Attainment and LFSP Labour Force Status"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA4 (UR)","AGE5P - Age in Five Year Groups","SEXP Sex","INGP Indigenous Status","HEAP Level of Highest Educational Attainment","LFSP Labour Force Status","Count",
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",185
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Male","Not stated","Degree-level or higher","Employed, any",14
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",27
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","ATSI (any)","Degree-level or higher","Employed, any",36
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",86
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",4386
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",97
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",5326
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",164
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","Not stated","Degree-level or higher","Employed, any",16
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",29
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","50-54 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","ATSI (any)","Degree-level or higher","Employed, any",30
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",49
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",5
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",3509
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",135
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4170
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",176
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","Not stated","Degree-level or higher","Employed, any",17
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",31
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","ATSI (any)","Degree-level or higher","Employed, any",21
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",49
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",3280
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",92
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4148
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",146
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","Not stated","Degree-level or higher","Employed, any",13
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",25
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","55-59 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","ATSI (any)","Degree-level or higher","Employed, any",9
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",37
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",2190
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",113
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",2674
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",143
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","Not stated","Degree-level or higher","Employed, any",8
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",15
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","ATSI (any)","Degree-level or higher","Employed, any",11
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",19
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1870
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",50
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",2600
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",81
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","Not stated","Degree-level or higher","Employed, any",4
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",15
"Persons Aged 15 Years and Over Place of Work","Australian Capital Territory","60-64 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","25-29 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","40-44 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Migratory - Offshore - Shipping (ACT)","45-49 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",0
